id,proper,ra,dec,mag,spect,con
9217,,1.979451,-61.569859,2.86,F0V,Hyi
96858,Fawaris,19.749574,45.13081,2.86,B9.5III,Cyg
74717,,15.315181,-68.679545,2.87,A1V,TrA
109784,,22.308371,-60.259587,2.87,K3III,Tuc
30270,Tejat,6.382673,22.513586,2.87,M3IIIvar,Gem
13813,Acamar,2.971023,-40.304672,2.88,A4III+...,Eri
93846,Albaldah,19.162731,-21.023615,2.88,F2II/III,Sgr
78029,Fang,15.980865,-26.114105,2.89,B1V + B2V,Sco
36087,Gomeisa,7.452512,8.289315,2.89,B8Vvar,CMi
62925,Cor Caroli,12.933807,38.31838,2.89,A0spe...,CVn
105936,Sadalsuud,21.525982,-5.571172,2.9,G0Ib,Aqr
79870,Alniyat,16.353143,-25.592796,2.9,B1III,Sco
18485,,3.96423,40.010215,2.9,B0.5V,Per
14292,,3.079942,53.50644,2.91,G8III+...,Per
47866,,9.785036,-65.072007,2.92,A9,Car
111804,Matar,22.716704,30.221245,2.93,G2II-III..,Peg
32682,,6.832266,-50.61456,2.94,K0III...,Pup
60776,Algorab,12.497739,-16.515432,2.94,B9.5V,Crv
108728,Sadalmelik,22.096399,-0.319851,2.95,G2Ib,Aqr
18497,Zaurak,3.967157,-13.508515,2.97,M1IIIb Ca-1,Eri
47772,Ras Elased Australis,9.764188,23.774255,2.97,G0II,Leo
26386,Tianguan,5.627413,21.142549,2.97,B4IIIp,Tau
88361,Alnasl,18.096803,-30.424091,2.98,K0III,Sgr
93452,Okab,19.090169,13.863478,2.99,A0Vn,Aql
64758,,13.315359,-23.171512,2.99,G8III,Hya
86804,,17.793078,-40.126997,2.99,F3Ia,Sco
82263,Xamidimura,16.864509,-38.04738,3.0,B1.5IV + B,Sco
54380,,11.161062,44.498487,3.0,K1III,UMa
74868,Pherkad,15.345483,71.834016,3.0,A3II-III,UMi
10041,,2.159058,34.987297,3.0,A5III,Tri
107742,Aldhanab,21.898808,-37.364852,3.0,B8III,Gru
17316,,3.715416,47.787551,3.01,B5III SB,Per
59134,,12.168746,-22.619766,3.02,K2III,Crv
30049,Furud,6.338553,-30.063367,3.02,B2.5V,CMa
33888,,7.050409,-23.833291,3.02,B3Ia,CMa
23361,Almaaz,5.032815,43.823308,3.03,F0Ia,Aur
62127,,12.771346,-68.108119,3.04,B2V,Mus
70851,Seginus,14.534636,38.308253,3.04,A7IIIvar,Boo
95648,Albireo,19.512023,27.959681,3.05,K3II+...,Cyg
100020,Dabih,20.350187,-14.781367,3.05,A5:n,Cap
50655,Tania Australis,10.372155,41.499516,3.06,M0III SB,UMa
32161,Mebsuta,6.732202,25.131124,3.06,A3mA6-A9,Gem
94081,Altais,19.209225,67.661541,3.07,G9III,Dra
89364,,18.293793,-36.761686,3.1,M2III,Sgr
101445,,20.626116,-47.291502,3.11,K0III,Ind
56392,,11.596363,-63.019841,3.11,B9II:,Cen
52789,,10.827079,-16.193648,3.11,K0/K1III,Hya
43689,,8.92323,5.945563,3.11,G8III-IV,Hya
44000,Talitha,8.986828,48.041826,3.12,A7IV,UMa
84121,Sarin,17.250531,24.839204,3.12,A3IVv SB,Her
27559,Wazn,5.849329,-35.768309,3.12,K1.5III,Col
82826,,16.977006,-55.990141,3.12,K5III,Ara
73107,,14.986025,-42.104194,3.13,B2IV,Cen
45728,,9.350925,34.392562,3.14,M0IIIvar,Lyn
84122,,17.250788,36.809162,3.16,K3IIvar,Her
46568,,9.520371,-57.034377,3.16,K5III,Vel
83638,Aldhibah,17.146448,65.714683,3.17,B6III,Dra
91754,,18.76094,-26.990778,3.17,B8.5III,Sgr
31605,,6.629353,-43.195934,3.17,B8III SB,Pup
46720,,9.547715,51.6773,3.17,F6IV,UMa
23712,Haedus,5.10858,41.234474,3.18,B3V,Aur
71682,,14.708492,-64.975138,3.18,F1Vp,Cir
23630,,5.091018,-22.371032,3.19,K4III,Lep
86991,Fuyue,17.830965,-37.043304,3.19,K0/K1III,Sco
22396,Tabit,4.830669,6.961276,3.19,F6V,Ori
82745,,16.961139,9.375033,3.19,K2IIIvar,Oph
116361,Errai,23.65582,77.632276,3.21,K1IV,Cep
104394,,21.215607,30.226916,3.21,G8II SB,Cyg
74912,,15.356201,-40.647518,3.22,B1.5IV,Lup
89684,,18.355167,-2.898825,3.23,K0III-IV,Ser
79640,Yed Posterior,16.305358,-4.692511,3.23,G8III,Oph
105691,Alfirk,21.477662,70.560716,3.23,B2IIIv SB,Cep
99156,,20.188413,-0.821461,3.24,B9.5III,Aql
32521,,6.803194,-61.941391,3.24,A7IV,Pic
92902,Sulafat,18.982395,32.689557,3.25,B9III,Lyr
